activity_level,user_count,avg_steps,avg_activity_days,avg_very_active_minutes,avg_fairly_active_minutes,avg_lightly_active_minutes,avg_sedentary_minutes,avg_activity_regularity_percent,avg_sleep_records,avg_sleep_minutes,avg_weight_records,avg_weight
High Activity,7,12487.519272125723,30.142857142857142,42.760794044665012,22.274713458584422,221.13097010516364,974.45282996573314,100.0,16.2,283.91935403726711,13.0,69.0
Low Activity,8,2936.0318944125952,26.750000000000004,3.4160525583982198,4.0105138187729965,109.15062676478138,1173.5557697655518,100.0,9.0,378.55527210884355,1.0,134.0
Moderate Activity,18,7624.1726840661777,28.611111111111111,19.085299850478993,13.865600440251125,216.61560004014487,931.24348356213727,100.0,22.166666666666671,415.76913167229026,8.0,70.4
